v2ProductName,sessions,viewers,product_view_rate,product_desirability
Google Bongo Cupholder Bluetooth Speaker,38373,531,1.38,low desirability
Android Spiral Journal with Pen,13106,181,1.38,low desirability
Switch Tone Color Crayon Pen,44578,608,1.36,low desirability
Satin Black Ballpoint Pen,12915,176,1.36,low desirability
Google Trucker Hat,63252,861,1.36,low desirability
Bic Digital Clic Stic Stylus Pen,3887,53,1.36,low desirability
1 oz Hand Sanitizer,58595,798,1.36,low desirability
Google Pocket Bluetooth Speaker,37814,510,1.35,low desirability
Google Men's Airflow 1/4 Zip Pullover Black,28092,379,1.35,low desirability
Google Toddler Short Sleeve T-shirt Grey,10780,144,1.34,low desirability
BLM Sweatshirt (Pre-Order),822,11,1.34,low desirability
Google Women's Convertible Vest-Jacket Sea Foam Green,46917,623,1.33,low desirability
Google Men's Vintage Badge Tee Sage,25194,334,1.33,low desirability
Google Adult Tee Fruit Games Cherries,3751,50,1.33,low desirability
Android Infant Short Sleeve Tee Pink,5853,78,1.33,low desirability
Google Men's Short Sleeve Performance Badge Tee Charcoal,23354,309,1.32,low desirability
Rubber Grip Ballpoint Pen 4 Pack,52167,684,1.31,low desirability
PaperMate Ink Joy Retractable Pen,3894,51,1.31,low desirability
Google Men's Quilted Insulated Vest Battleship Grey,20419,267,1.31,low desirability
Google Toddler Short Sleeve T-shirt Green,9973,130,1.3,low desirability
Compact Selfie Stick,56220,727,1.29,low desirability
Google Women's Weatherblock Shell Jacket Black,7518,96,1.28,low desirability
Google Women's Long Sleeve Tee Lavender,24779,316,1.28,low desirability
Google Women's Colorblock Tee White,1253,16,1.28,low desirability
Google Women's Badge Performance Tee Black,312,4,1.28,low desirability
Google Men's Performance Tee Gunmetal,6271,80,1.28,low desirability
Google Women's Short Sleeve Hero V-Neck Tee Black,9813,125,1.27,low desirability
22 oz YouTube Bottle Infuser,152546,1934,1.27,low desirability
Google Women's Badge Performance Tee Gunmetal,318,4,1.26,low desirability
Crunch-It Dog Toy,13478,170,1.26,low desirability
Yoga Block,31745,398,1.25,low desirability
Powerbank Flashlight,400,5,1.25,low desirability
Google Men's Skater Tee Charcoal,22721,283,1.25,low desirability
Google Women's Scoop Neck Tee Black,17576,217,1.23,low desirability
Google Men's Performance Badge Tee Navy,652,8,1.23,low desirability
Compact Bluetooth Speaker,48143,591,1.23,low desirability
YouTube RFID Journal,85342,1038,1.22,low desirability
Bic Intensity Clic Gel Pen,3850,47,1.22,low desirability
Waze Dress Socks,10963,133,1.21,low desirability
